epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6736,2.73483,12.9652,2.36345,0.00278,0.83333,0.03496,0.01357,1.71019,5.32337,2.21007,0.000391304,0.000391304,0.000391304
2,63.4402,2.28897,9.81503,1.97305,0.00222,0.66667,0.09236,0.01374,2.14406,5.76501,3.26036,0.000791256,0.000791256,0.000791256
3,79.9021,2.15478,8.32531,1.93149,0.48484,0.4722,0.41954,0.16109,2.3852,4.64438,3.6762,0.00119101,0.00119101,0.00119101
4,97.6962,2.10972,6.69514,1.81254,0.41339,0.58333,0.42749,0.14674,2.19212,5.68188,3.82345,0.00159043,0.00159043,0.00159043
5,115.268,2.2044,6.51203,1.87599,0.31393,0.66667,0.43837,0.17979,2.33259,9.52286,4.3972,0.00198936,0.00198936,0.00198936
6,131.747,2.03735,5.44052,1.78301,0.31875,0.33333,0.25294,0.08509,2.40753,4.13088,4.14964,0.00199695,0.00199695,0.00199695
7,148.533,2.05476,5.28159,1.74947,0.69959,0.66667,0.61034,0.27542,1.98934,4.25929,2.97099,0.00199561,0.00199561,0.00199561
8,169.507,2.05273,4.70154,1.89797,0.88897,0.66667,0.69108,0.35867,2.15378,2.33326,3.44949,0.00199402,0.00199402,0.00199402
9,187.2,2.06357,4.70662,1.79636,0.63978,0.33333,0.40968,0.221,2.27487,2.83088,3.21766,0.00199219,0.00199219,0.00199219
10,203.876,2.00896,4.3412,1.8197,0.52951,0.33333,0.3742,0.17605,2.18241,3.10311,2.91904,0.00199012,0.00199012,0.00199012
11,220.447,2.0303,3.79031,1.78098,0.74794,0.5,0.59928,0.3068,2.12236,2.87796,2.70438,0.00198781,0.00198781,0.00198781
12,237.187,1.99903,3.37646,1.78451,0.82959,0.58333,0.66355,0.34665,2.04498,2.21294,2.58101,0.00198526,0.00198526,0.00198526
13,254.397,1.99057,3.34199,1.72133,0.80199,0.58333,0.69798,0.26525,2.02675,2.34127,2.75105,0.00198246,0.00198246,0.00198246
14,272.56,2.02523,3.15056,1.77324,0.80886,0.58333,0.70671,0.31503,1.93055,4.05552,2.59999,0.00197943,0.00197943,0.00197943
15,290.321,2.0402,2.82789,1.77678,0.34253,0.56514,0.45802,0.20615,2.30621,2.322,2.92436,0.00197616,0.00197616,0.00197616
16,307.44,1.993,2.76085,1.79366,0.82923,0.40641,0.51342,0.23053,1.97194,2.82727,2.55652,0.00197265,0.00197265,0.00197265
17,324.376,1.92226,2.5057,1.66393,0.79698,0.65534,0.6683,0.33518,2.0868,1.93609,2.65285,0.0019689,0.0019689,0.0019689
18,341.015,1.89364,2.49545,1.71955,0.79096,0.63276,0.66425,0.38981,1.92858,1.85832,2.48269,0.00196491,0.00196491,0.00196491
19,357.556,1.88179,2.17703,1.64342,0.9355,0.58333,0.67716,0.44423,1.81568,1.75967,2.34523,0.00196069,0.00196069,0.00196069
20,375.747,1.86165,2.12259,1.69367,0.86084,0.51724,0.6543,0.39979,1.62341,1.83485,2.22896,0.00195624,0.00195624,0.00195624
21,392.03,1.94425,2.18512,1.67483,0.79113,0.63339,0.69105,0.36049,1.87139,1.78409,2.57176,0.00195155,0.00195155,0.00195155
22,409.832,1.88968,2.03344,1.72631,0.77214,0.56641,0.6651,0.4254,1.85374,1.90143,2.64955,0.00194662,0.00194662,0.00194662
23,427.72,1.87044,1.92871,1.64183,0.68218,0.58333,0.59502,0.27427,1.98118,2.11233,2.70988,0.00194147,0.00194147,0.00194147
24,445.038,1.8486,1.93947,1.62359,0.8443,0.66667,0.72489,0.31912,1.81904,1.82679,2.49458,0.00193609,0.00193609,0.00193609
25,461.83,1.74046,1.76027,1.54867,0.87825,0.58333,0.70201,0.37647,1.74855,1.71987,2.35015,0.00193048,0.00193048,0.00193048
26,478.07,1.82856,1.77637,1.63187,0.78124,0.66667,0.6769,0.38468,1.67022,1.81011,2.29589,0.00192464,0.00192464,0.00192464
27,495.099,1.78975,1.74951,1.66169,0.85387,0.48856,0.62031,0.27901,1.88266,1.79837,2.56573,0.00191858,0.00191858,0.00191858
28,512.125,1.82047,1.74022,1.65965,0.61487,0.66667,0.62995,0.30332,1.84544,1.82417,2.51666,0.00191229,0.00191229,0.00191229
29,528.501,1.87956,1.67956,1.65792,0.87855,0.60461,0.77871,0.36627,1.70005,1.49732,2.43547,0.00190578,0.00190578,0.00190578
30,546.711,1.85495,1.63465,1.70217,0.95791,0.58333,0.76591,0.41521,1.64058,1.46996,2.40687,0.00189905,0.00189905,0.00189905
31,563.619,1.79366,1.52233,1.63026,0.75734,0.78183,0.78514,0.35865,1.9184,1.59814,3.16229,0.0018921,0.0018921,0.0018921
32,582.04,1.8048,1.54378,1.70612,0.96088,0.58333,0.76738,0.4513,1.6092,1.55465,2.82388,0.00188493,0.00188493,0.00188493
33,599.628,1.82503,1.54174,1.62016,1,0.72053,0.84317,0.4486,1.62784,1.34159,2.6746,0.00187754,0.00187754,0.00187754
34,615.84,1.74791,1.51558,1.59691,0.99598,0.66667,0.82096,0.47339,1.53447,1.3567,2.41159,0.00186995,0.00186995,0.00186995
35,633.715,1.73453,1.40752,1.50341,0.89733,0.72996,0.82,0.46665,1.65346,1.35539,2.27319,0.00186213,0.00186213,0.00186213
36,650.512,1.72748,1.47352,1.60518,0.95958,0.58333,0.74957,0.44076,1.58193,1.59996,2.33845,0.00185411,0.00185411,0.00185411
37,667.264,1.74327,1.55295,1.55056,0.9563,0.58333,0.70977,0.38227,1.74605,1.83671,2.52451,0.00184588,0.00184588,0.00184588
38,683.67,1.74359,1.43186,1.57023,0.95655,0.58333,0.64784,0.37334,1.57346,1.97791,2.40547,0.00183745,0.00183745,0.00183745
39,700.563,1.69959,1.38956,1.53021,1,0.65984,0.75739,0.42155,1.78699,1.78115,2.72529,0.00182881,0.00182881,0.00182881
40,718.666,1.74234,1.50221,1.60408,0.8978,0.73346,0.77471,0.4747,1.54099,1.56959,2.46179,0.00181997,0.00181997,0.00181997
41,735.737,1.71938,1.41813,1.55646,1,0.72002,0.77071,0.4092,1.49998,1.62246,2.39444,0.00181093,0.00181093,0.00181093
42,753.288,1.73473,1.36157,1.54636,1,0.66126,0.7915,0.47048,1.50154,1.66064,2.34956,0.00180169,0.00180169,0.00180169
43,769.63,1.67414,1.28327,1.51449,1,0.66267,0.7901,0.39286,1.67421,1.69576,2.4633,0.00179225,0.00179225,0.00179225
44,786.75,1.83902,1.4498,1.70434,1,0.65946,0.79969,0.47086,1.47894,1.35083,2.20994,0.00178263,0.00178263,0.00178263
45,803.606,1.77473,1.35389,1.53426,1,0.65686,0.77794,0.4588,1.42999,1.48322,2.17988,0.00177281,0.00177281,0.00177281
46,821.236,1.76726,1.33339,1.60042,0.8869,0.65471,0.73345,0.41032,1.81993,1.52521,2.47895,0.0017628,0.0017628,0.0017628
47,839.26,1.78732,1.326,1.61738,0.97523,0.58333,0.73264,0.47434,1.42949,1.60966,2.02636,0.00175261,0.00175261,0.00175261
48,856.065,1.68113,1.24684,1.51741,0.98741,0.58333,0.67918,0.42022,1.78772,1.59239,2.46221,0.00174223,0.00174223,0.00174223
49,873.044,1.70886,1.26022,1.61947,0.89227,0.66667,0.74069,0.38794,1.956,1.76141,2.70203,0.00173168,0.00173168,0.00173168
50,890.096,1.72278,1.2954,1.56972,0.88397,0.66667,0.75267,0.42865,1.82934,1.60319,2.5935,0.00172095,0.00172095,0.00172095
51,907.294,1.82338,1.29822,1.58172,0.88601,0.6494,0.72816,0.40159,1.69537,1.74624,2.45836,0.00171004,0.00171004,0.00171004
52,924.206,1.70273,1.21991,1.5606,1,0.66439,0.76941,0.37719,1.66374,1.74555,2.44016,0.00169895,0.00169895,0.00169895
53,940.946,1.70126,1.24292,1.53833,1,0.65133,0.78583,0.44991,1.64895,1.47167,2.37493,0.0016877,0.0016877,0.0016877
54,959.562,1.68289,1.25736,1.55878,1,0.65388,0.78385,0.44943,1.55155,1.45158,2.32779,0.00167628,0.00167628,0.00167628
55,976.933,1.69002,1.2759,1.48739,0.99586,0.66667,0.76202,0.42284,1.54732,1.59233,2.34307,0.0016647,0.0016647,0.0016647
56,992.953,1.68181,1.1787,1.51796,0.9951,0.66667,0.78608,0.40644,1.57705,1.54814,2.38252,0.00165295,0.00165295,0.00165295
57,1009.32,1.67213,1.12622,1.49953,1,0.66553,0.80617,0.44974,1.44347,1.3202,2.29302,0.00164105,0.00164105,0.00164105
58,1026.64,1.70075,1.2566,1.57416,1,0.64637,0.78426,0.44151,1.48207,1.65049,2.32254,0.00162899,0.00162899,0.00162899
59,1043.4,1.64687,1.18968,1.48664,0.99101,0.66667,0.78828,0.40835,1.68142,1.5826,2.40031,0.00161678,0.00161678,0.00161678
60,1060.37,1.67726,1.14499,1.52586,1,0.66204,0.80821,0.47425,1.59757,1.35432,2.24241,0.00160442,0.00160442,0.00160442
